WaferID,BTM_X_mm,BTM_Y_mm,BTM_Thickness,TFK_X_mm,TFK_Y_mm,TFK_Thickness,Distance_mm,Thickness_Delta,BTM_File,TFK_File
AANBD202TEC1,57.9,57.9,3366.0,57.9062,57.9062,3375.800049,0.00876812408671285,-9.800048999999944,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-71.2,61.9,3364.0,-71.1902,61.8829,3373.149902,0.01970913493788968,-9.149902000000111,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,19.3,-96.5,3366.0,19.3019,-96.51,3377.149902,0.010178899744083295,-11.149902000000111,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,19.3,96.5,3364.0,19.3019,96.51,3374.780029,0.010178899744083295,-10.780029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,96.5,19.3,3366.0,96.51,19.3019,3377.51001,0.010178899744083295,-11.510009999999966,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,71.2,-69.2,3368.0,71.2039,-69.2075,3379.879883,0.008453401682157895,-11.879883000000063,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-96.5,-57.9,3362.0,-96.51,-57.9062,3372.449951,0.011766052864070403,-10.449951000000056,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.9,-96.5,3362.0,-57.9062,-96.51,3373.629883,0.011766052864070403,-11.629883000000063,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.9,96.5,3361.0,-57.9062,96.51,3373.379883,0.011766052864070403,-12.379883000000063,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,94.9,61.8,3364.0,94.9361,61.8829,3373.72998,0.09041913514295342,-9.729980000000069,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-118.6,-3.6,3359.0,-118.655,-3.6622,3371.580078,0.08302915150717083,-12.580077999999958,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,0.0,127.4,3358.0,0.0067,127.428,3368.719971,0.028790449805439457,-10.719970999999987,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,0.0,-134.7,3357.0,0.0067,-134.7529999,3366.77002,0.05342171281427001,-9.770019999999931,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-96.5,96.5,3353.0,-96.51,96.51,3364.070068,0.014142135623738184,-11.070067999999992,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,96.5,-96.5,3356.0,96.51,-96.51,3369.120117,0.014142135623738184,-13.120116999999937,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,136.2,19.3,3357.0,136.2,19.3019,3368.439941,0.0018999999999991246,-11.43994100000009,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,71.2,127.4,3356.0,71.2039,127.428,3367.110107,0.028270302439124012,-11.11010699999997,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,141.9,-35.9,3359.0,142.401,-36.4348,3375.040039,0.7328110534100923,-16.04003899999998,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-135.7,-57.4,3364.0,-136.2,-57.9062,3390.590088,0.7115043499515654,-26.590087999999923,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-135.7,57.4,3363.0,-136.2,57.9062,3394.77002,0.7115043499515654,-31.77001999999993,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.4,-135.7,3363.0,-57.9062,-136.2,3392.139893,0.7115043499515654,-29.13989300000003,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,-57.4,135.7,3364.0,-57.9062,136.2,3394.219971,0.7115043499515654,-30.219970999999987,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,57.4,-135.7,3365.0,57.9062,-136.2,3391.610107,0.7115043499515654,-26.61010699999997,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD202TEC1,135.7,57.4,3367.0,136.2,57.9062,3395.280029,0.7115043499515654,-28.280029000000013,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,0.0,-3.6,3365.0,0.0067,-3.6622,3376.919922,0.06255981138078963,-11.919922000000042,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,19.3,-19.3,3363.0,19.3019,-19.3019,3374.060059,0.0026870057685076426,-11.06005899999991,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,19.3,19.3,3364.0,19.3019,19.3019,3373.689941,0.0026870057685076426,-9.68994100000009,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-47.5,-36.4,3359.0,-47.4578,-36.4348,3370.169922,0.054698080405078064,-11.169922000000042,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-57.9,19.3,3358.0,-57.9062,19.3019,3367.189941,0.0064845971347489055,-9.18994100000009,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-19.3,-57.9,3357.0,-19.3019,-57.9062,3368.379883,0.0064845971347489055,-11.379883000000063,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
AANBD159TED5,-19.3,57.9,3357.0,-19.3019,57.9062,3370.149902,0.0064845971347489055,-13.149902000000111,M484-3375-ttg-matching-adj-05mm.csv,2026-03-25T13.38.44.1119450-LCTW01516-8374-TFK659-TTG624-MFGM484CDTFK.xml
